entry_date,exit_date,ticker,company_name,asset_type,exchange,entry_price,exit_price,cash_amount,shares,entry_cash,exit_cash,dividend_cash,pnl,trade_return_pct,holding_days,event_yield_real_pct,event_expected_tae_pct,recovery_rate_pct,median_recovery_days,capture_score,capture_cluster,entry_ts,exit_ts,rank_by,capital_after_close,capital_after
2025-02-19,2025-02-20,LFUS,LITTELFUSE INC /DE,Stock,Nasdaq,254.6000061035156,255.16000366210935,0.7,2.561782050796482,652.2297257686611,655.4575648983139,1.7932474355575374,3.227839129652807,0.4948929805136921,1.0,0.27494107746226565,100.35349327372697,100.0,1.0,89.68159251690334,Rapido y rentable,2025-02-19,2025-02-20,capture_score,655.4575648983139,655.4575648983139
2025-02-20,2025-02-25,BBWI,"Bath & Body Works, Inc.",Stock,NYSE,40.34000015258789,40.630001068115234,0.2,16.248328270178874,655.4575648983139,663.4192606264903,3.249665654035775,7.961695728176437,1.2146775252203543,5.0,0.49578581865020055,72.38472952292929,100.0,2.5,89.79969845953596,Rapido y rentable,2025-02-20,2025-02-25,capture_score,663.4192606264903,663.4192606264903
2025-02-25,2025-02-26,RMBI,"Richmond Mutual Bancorporation, Inc.",Stock,Nasdaq,12.5,12.630000114440918,0.15,53.07354085011922,663.4192606264903,678.2798581383084,7.961031127517883,14.860597511818128,2.2400009155273453,1.0,1.2,292.0,100.0,1.5,90.01817399310637,Rapido y rentable,2025-02-25,2025-02-26,capture_score,678.2798581383084,678.2798581383084
2025-02-26,2025-02-27,KNSL,"Kinsale Capital Group, Inc.",Stock,NYSE,416.8399963378906,428.0700073242188,0.17,1.6271947608129584,678.2798581383084,696.8298962884718,0.27662310933820294,18.550038150163346,2.7348649569335723,1.0,0.04078303461604437,14.885807634856196,100.0,1.0,89.67380984693693,Rapido defensivo,2025-02-26,2025-02-27,capture_score,696.8298962884718,696.8298962884718
2025-02-27,2025-02-28,BAFN,BayFirst Financial Corp.,Stock,Nasdaq,18.100000381469727,18.459999084472656,0.08,38.49888848631554,696.8298962884718,713.7693572895051,3.0799110789052437,16.93946100103335,2.4309320095561455,1.0,0.4419889409610276,161.32596345077508,100.0,1.0,90.17099447048052,Rapido y rentable,2025-02-27,2025-02-28,capture_score,1390.7607391911135,1390.7607391911135
2025-02-28,2025-03-03,PEBK,PEOPLES BANCORP OF NORTH CAROLINA INC,Stock,Nasdaq,26.420000076293945,26.450000762939453,0.2,26.320225873863848,695.3803695955568,701.4340396192102,5.26404517477277,6.053670023653467,0.8705552081049353,3.0,0.7570022688207915,184.20388541305928,100.0,1.5,89.97737564169208,Rapido y rentable,2025-02-28,2025-03-03,capture_score,701.4340396192102,701.4340396192102
2025-02-28,2025-03-03,WRB,BERKLEY W R CORP,Stock,NYSE,63.08000183105469,63.72999954223633,0.08,11.023784867000694,695.3803695955568,703.4277073170261,0.8819027893600556,8.047337721469376,1.1572569594033584,3.0,0.1268230781195309,15.430141171209591,100.0,3.0,89.46203760387506,Rapido y rentable,2025-02-28,2025-03-03,capture_score,1404.8617469362364,1404.8617469362364
2025-03-03,2025-03-06,FF,FutureFuel Corp.,Stock,NYSE,4.329999923706055,4.349999904632568,0.06,162.22422305885547,702.4308734681182,715.4088082186452,9.733453383531328,12.97793475052697,1.8475746497944912,3.0,1.3856813177180356,91.95885108492418,100.0,5.5,88.8298957696934,Rapido y rentable,2025-03-03,2025-03-06,capture_score,715.4088082186452,715.4088082186452
2025-03-03,2025-03-04,RYAN,"RYAN SPECIALTY HOLDINGS, INC.",Stock,NYSE,69.47000122070312,69.9800033569336,0.12,10.111283447894673,702.4308734681182,708.8010036403236,1.2133540137473606,6.3701301722054495,0.9068693323165239,1.0,0.1727364299573931,31.52439846722424,100.0,2.0,88.64791510157836,Rapido y rentable,2025-03-03,2025-03-04,capture_score,708.8010036403236,708.8010036403236
2025-03-04,2025-03-05,FOXA,Fox Corp,Stock,Nasdaq,56.220001220703125,56.34000015258789,0.27,12.607630527395049,708.8010036403236,713.7179660796055,3.4040602423966635,4.9169624392818605,0.6937013934840505,1.0,0.4802561261784036,175.2934860551173,100.0,1.0,90.02076121087529,Rapido y rentable,2025-03-04,2025-03-05,capture_score,713.7179660796055,713.7179660796055
2025-03-05,2025-03-11,NTES,"NetEase, Inc. American Depositary Shares",Preferred,,103.16000366210938,104.41999816894533,1.22025,6.9185531285683135,713.7179660796055,730.8776694719897,8.442364455135484,17.159703392384245,2.404269502509667,6.0,1.1828712259421887,107.93699936722473,100.0,4.0,89.13757823244735,Rapido y rentable,2025-03-05,2025-03-11,capture_score,730.8776694719897,730.8776694719897
2025-03-06,2025-03-07,BOTJ,BANK OF THE JAMES FINANCIAL GROUP INC,Stock,Nasdaq,13.050000190734863,13.06999969482422,0.1,54.82059752968935,715.4088082186452,721.9872527360901,5.482059752968936,6.57844451744495,0.9195364163638349,1.0,0.7662835137044459,279.6934825021228,100.0,1.0,89.96974524499065,Rapido y rentable,2025-03-06,2025-03-07,capture_score,721.9872527360901,721.9872527360901
2025-03-07,2025-03-10,OXY,OCCIDENTAL PETROLEUM CORP /DE/,Stock,NYSE,47.2400016784668,47.36000061035156,0.24,15.283387533518873,721.9872527360901,727.4892559237378,3.6680130080445292,5.502003187647688,0.7620637576074836,3.0,0.5080440124315198,185.4360645375047,100.0,1.0,90.09195228554132,Rapido y rentable,2025-03-07,2025-03-10,capture_score,727.4892559237378,727.4892559237378
2025-03-10,2025-03-11,EXE,EXPAND ENERGY Corp,Stock,Nasdaq,99.08999633789062,100.3000030517578,0.575,7.341702319203297,727.4892559237378,740.5942438547299,4.221478833541895,13.104987930992138,1.8013995154267852,1.0,0.5802805744782614,211.80240968456542,100.0,1.0,89.33349153272741,Rapido y rentable,2025-03-10,2025-03-11,capture_score,1471.4719133267197,1471.4719133267197
