dimension,segment,tickers,events,avg_recovery_rate_pct,avg_success_30d_pct,median_recovery_days,avg_dividend_yield_pct,avg_expected_tae_pct,avg_capture_score,top_ticker
asset_type,Stock,1455,11839,89.11176270460206,81.33053167821448,4.0,0.9383561375080529,66.58244686277787,82.07927972679761,BRLT
asset_type,Other Unmatched,86,510,86.66784120272492,77.05636095170979,5.0,1.5292881767258084,67.23668848426851,79.7631287806326,INTR
asset_type,ETF/Fund,805,8507,84.5400902405501,76.85669164330234,6.0,0.7034609188505868,46.305174317095464,78.9961460658003,BLCN
asset_type,Preferred,105,668,73.24644945697577,56.01893622946255,15.5,2.0257380836700056,70.36481359293869,71.3296550783048,SOGP
asset_type,Note/Bond,30,108,79.11111111111111,52.888888888888886,17.0,2.258617023698071,117.00186991107107,71.07782436425217,RILYN
capture_cluster,Rapido y rentable,1315,10555,94.54870415791723,88.20897999455615,4.0,0.8728306428634386,87.20259636259581,85.54988027094862,BRLT
capture_cluster,Rapido defensivo,562,4881,93.86713664594657,85.3179285592411,6.0,0.2781357292996247,14.172383911539486,83.6505026867661,KNSL
capture_cluster,Estable,70,968,76.70412995923462,66.75428709818833,8.0,1.0721326229699417,49.3583557559256,75.60090099172842,ARHS
capture_cluster,Rentable pero lento,214,1962,65.0969640991261,57.60771296887708,5.0,1.854528772222089,88.86429449371246,70.87403158221049,RILYG
capture_cluster,Observacion,241,2351,69.63311551884063,48.16896333429611,19.5,0.8869987997261224,10.773514991849627,67.31198773280389,XP
capture_cluster,Especulativo,79,915,26.120699132985354,22.126670865248848,8.0,4.4785352609420555,32.96816454375342,41.87161059321509,IOYY
exchange,CBOE,4,10,93.75,93.75,3.25,0.742884015368376,97.2257913566322,86.81825198101241,TSOL
exchange,NYSE,857,5074,89.95035776412331,82.67420498484745,4.5,0.7845189215137003,62.398297583698714,82.708187396532,CVS
exchange,Germany/Xetra,3,23,94.11764705882354,92.15686274509805,16.0,0.8512647985758733,19.709796544829832,82.02249171727082,DYLD.DE
exchange,Nasdaq,594,6755,87.87063658475142,79.30829952826231,4.0,1.161622774874583,72.5084747455176,81.14000403322989,BRLT
exchange,US Listed,710,7965,85.26573575730934,77.31668127668686,5.75,0.6156884035215483,42.161473500503014,79.53140223675362,ELIL
exchange,London Stock Exchange,11,31,81.81818181818181,75.75757575757576,6.0,0.7388049385448184,54.08183213087109,76.59520815526135,0P000026O3.L
exchange,Borsa Italiana,5,12,76.66666666666666,56.666666666666664,14.0,1.1503098498119246,29.20556706907131,68.91266482993376,JEPQ.MI
safety_cluster,Alta,1283,9355,99.78026384783357,91.94930584439501,4.0,0.691929471569534,64.6285633743794,87.33163330178692,BRLT
safety_cluster,Media-alta,783,8535,82.07231718949426,73.01024368294252,5.0,0.7623570922986488,57.70015082681222,78.47297995671826,NSP
safety_cluster,Media,336,2827,62.160101609936476,51.830580883363986,9.0,1.5032696771895093,58.35443483922913,67.55994376659744,QTR
safety_cluster,Baja,79,915,26.120699132985354,22.126670865248848,8.0,4.4785352609420555,32.96816454375342,41.87161059321509,IOYY
